# LAST EDIT: 2021/04/11 - SUPERNOVA
##############
# GOBLIN/ORC #
##############
###ÄNSI
#REPUBLICAN Laws

SHORTER_TERMS;Shorter;;;;;;;;;;;;x
LONGER_TERMS;Longer;;;;;;;;;;;;x
law_election_cycles;Elections;;;;;;;;;;;;x
law_election_cycles_desc;Determines the Lenght of how long an elected leader can stay in office.;;;;;;;;;;;;x
law_election_cycles_0;4 Years;;;;;;;;;;;;x
law_election_cycles_0_desc;Change election term to 4 Years ;;;;;;;;;;;;x
law_election_cycles_1;8 Years;;;;;;;;;;;;x
law_election_cycles_1_desc;Change election term to 8 Years ;;;;;;;;;;;;x
law_election_cycles_2;16 Years ;;;;;;;;;;;;x
law_election_cycles_2_desc;Change election term to 16 Years ;;;;;;;;;;;;x
law_election_cycles_3;10 Years;;;;;;;;;;;;x
law_election_cycles_3_desc;Change election term to 10 Years;;;;;;;;;;;;x
law_election_cycles_4;15 Years;;;;;;;;;;;;x
law_election_cycles_4_desc;Change election term to 15 Years;;;;;;;;;;;;x
law_election_cycles_5;20 Years;;;;;;;;;;;;x
law_election_cycles_5_desc;Change election term to 20 Years;;;;;;;;;;;;x
law_election_cycles_6;Dictatorship;;;;;;;;;;;x
law_election_cycles_6_desc;Establish an Dictatorship to get rid of the election cycles for future leaders;;;;;;;;;;;x
law_election_cycles_7;Drachau Governate;;;;;;;;;;;x
law_election_cycles_7_desc;Rule at leisure of The Witch King, Easily replaced should you displease him.;;;;;;;;;;;x
#law_election_cycles_7 # Drachau - Leisure of Malekith
law_marienburg_domination;Guilds of Marienburg;;;;;;;;;;;x
law_marienburg_domination_desc;Guilds of Marienburg and westerland as whole are contantly vying for power and theres very little the nobility can do to curtail them with the ingrained power base of the merchants.;;;;;;;;;;;x
law_marienburg_domination_0;Guild Domination;;;;;;;;;;;x
law_marienburg_domination_0_desc;Guilds of Westerland have acquired power to control much of westerland and will strive to diminish the hold on the land by the nobility.;;;;;;;;;;;x
law_marienburg_domination_1;Diminished Guilds;;;;;;;;;;;x
law_marienburg_domination_1_desc;Guilds have been severly weakened and are unable to make any demands of Lords of westerland, but they are sure to raise again;;;;;;;;;;;x
#
# GOBLIN/ORC LAWS
#
greenskin_power;Greenskin Control;;;;;;;;;;;;x
greenskin_power_desc;Greenskins don't have the same concept of ruler as the other races, instead the strong rule over the weak. That is the only Greenskin law.\n Each level of this law will be automatically passed to its next level at 500, 1000, 4000 and 8000 piety for each respective level.\n The average time for the next level of the law to be enacted is 1 year, but it can be shortened with certain traits.;;;;;;;;;;;;x
greenskin_power_0;No Greenskin Control;;;;;;;;;;;;x
greenskin_power_0_desc;The Greenskins of this tribe don't respect your authority at all. Next level available at 500.;;;;;;;;;;;;x
greenskin_power_1;Low Greenskin Control;;;;;;;;;;;;x
greenskin_power_1_desc;The Greenskins now grudgingly respect your authority. Next level available at 1000.;;;;;;;;;;;;x
greenskin_power_2;Medium Greenskin Control;;;;;;;;;;;;x
greenskin_power_2_desc;The Greenskins now somewhat respect your authority. Next level available at 4000.;;;;;;;;;;;;x
greenskin_power_3;High Greenskin Control;;;;;;;;;;;;x
greenskin_power_3_desc;The Greenskins now respect your authority. Next level available at 8000.;;;;;;;;;;;;x
greenskin_power_4;Absolute Greenskin Control;;;;;;;;;;;;x
greenskin_power_4_desc;The Greenskins now completely respect your authority.;;;;;;;;;;;;x
tooltip_feudal_elector_vote_strong_commander;He is a good commander.;;;;;;;;;;;;;x
tooltip_feudal_elector_vote_weak_commander;He is a weak commander.;;;;;;;;;;;;;x
tooltip_feudal_elector_vote_foreign_race;He is of a different race.;;;;;;;;;;;;;x
tooltip_greenskin_purity_laws_1;Enables buildings of different Greenskins.;;;;;;;;;;;;;x
tooltip_greenskin_purity_laws_2;Disables buildings of different Greenskins.;;;;;;;;;;;;;x
succ_military_elective;Military Command;;;;;;;;;;;;;x
military_elective;Military Command;;;;;;;;;;;;;x
succ_military_elective_desc;The ruler, the marshal and the generals can nominate a successor from among themselves and relatives of the ruler. Advisors are valid electors in Kingdoms and Empires. Military command is very popular among martial societies.;;;;;;;;;;;;;x
greenskin_racial_purity_laws;Racial Purity Laws;;;;;;;;;;;;;x
greenskin_racial_purity_laws_desc;To define the attitude towards other Greenskin races within your personal horde.;;;;;;;;;;;;;x
greenskin_purity_laws_0;Racial Purity Laws;;;;;;;;;;;;;x
greenskin_purity_laws_0_desc;More Greenskins for the Horde!;;;;;;;;;;;;;x
greenskin_purity_laws_1;Military Exempt;;;;;;;;;;;;;x
greenskin_purity_laws_1_desc;Surely the best of the best of lesser Greenskins can be used?;;;;;;;;;;;;;x
greenskin_purity_laws_2;Racial Purity Laws;;;;;;;;;;;;;x
greenskin_purity_laws_2_desc;[Root.Holder.Culture.GetName]s are da best and the only ones deserving to be part of da Horde!;;;;;;;;;;;;;x
#
# NOMAD LAWS
#
nomad_stability_law_desc;Nomad stability laws.;;;;;;;;;;;;;x
nomad_stability_law_0;Low Cohesion of the Clans;;;;;;;;;;;;;x
nomad_stability_law_0_desc;Low Nomadic Stability;;;;;;;;;;;;;x
nomad_stability_law_1;Medium Cohesion of the Clans;;;;;;;;;;;;;x
nomad_stability_law_1_desc;Medium Nomadic Stability;;;;;;;;;;;;;x
nomad_stability_law_2;High Cohesion of the Clans;;;;;;;;;;;;;x
nomad_stability_law_2_desc;High Nomadic Stability;;;;;;;;;;;;;x
#
# NORSCA
#
norse_tolerance_laws;The Norscan Pantheon;;;;;;;;;;;;;x
norse_tolerance_laws_desc;Controls thex
norse_tolerance_laws_desc;Controls the tolerance of different religions within the realm.;;;;;;;;;;;;;x
sub_norse_tolerance_desc;The Norscan;;;;;;;;;;;;;x
sub_norse_tolerance_0;Order Aligned Pantheon;;;;;;;;;;;;;x
sub_norse_tolerance_0_desc;Favour the gods of the Old World and their customs. The Chaos gods won't be too happy...;;;;;;;;;;;;;x
sub_norse_tolerance_1;Open Pantheon;;;;;;;;;;;;;x
sub_norse_tolerance_1_desc;Anyone may worship whatever god they wish within your realm. Your populace will be happy, but your vassals will not care...;;;;;;;;;;;;;x
sub_norse_tolerance_2;Dark Gods Aligned Pantheon;;;;;;;;;;;;;x
sub_norse_tolerance_2_desc;Favour the Chaos Gods and their customs, like a true Norscan should.;;;;;;;;;;;;;x
#
# BRETONNIA
#
investiture_grail_law;Religious Tolerance;;;;;;;;;;;;;x
investiture_grail_law_desc;Controls the tolerance of Old World religions within the realm and affects the functionalities of the Cult of the Lady and her Damsels and Fay Enchantress.;;;;;;;;;;;;;x
investiture_grail_law_0;Tolerant Society;;;;;;;;;;;;;x
TT_BRETONNIAN_INVST_0;The peasantry are allowed to choose their own religion;;;;;;;;;;;;;x
